ticker,mktshare,ipo_date
002029.SZ,"755,670,000.00",8/6/2004
002030.SZ,"659,018,611.00",8/9/2004
002031.SZ,"733,131,890.00",8/16/2004
002032.SZ,"632,875,188.00",8/17/2004
002033.SZ,"422,685,163.00",8/25/2004
002034.SZ,"83,920,000.00",8/26/2004
002035.SZ,"358,861,302.00",9/1/2004
002036.SZ,"260,781,856.00",9/3/2004
002037.SZ,"327,368,160.00",9/8/2004
002038.SZ,"684,900,000.00",9/9/2004
002039.SZ,"305,398,662.00",3/3/2005
002040.SZ,"245,872,000.00",3/25/2005
002041.SZ,"880,000,000.00",4/18/2005
002042.SZ,"832,992,573.00",4/27/2005
002043.SZ,"484,249,780.00",5/10/2005
002044.SZ,"1,210,741,353.00",5/18/2005
002045.SZ,"416,904,000.00",5/23/2005
002046.SZ,"340,565,970.00",5/26/2005
002047.SZ,"1,263,101,435.00",5/31/2005
002048.SZ,"530,047,150.00",6/3/2005
002049.SZ,"606,817,968.00",6/6/2005
002050.SZ,"1,755,126,198.00",6/7/2005
002051.SZ,"773,418,434.00",6/19/2006
002052.SZ,"682,959,694.00",6/27/2006
002053.SZ,"279,164,668.00",6/27/2006
002054.SZ,"419,809,471.00",7/25/2006
002055.SZ,"450,512,080.00",7/25/2006
002056.SZ,"410,900,000.00",8/2/2006
002057.SZ,"199,381,670.00",8/2/2006
002058.SZ,"143,448,332.00",8/2/2006
002059.SZ,"730,792,576.00",8/10/2006
002060.SZ,"601,131,029.00",8/10/2006
002061.SZ,"453,259,717.00",8/16/2006
002062.SZ,"787,500,000.00",8/16/2006
002063.SZ,"596,561,249.00",8/23/2006
002064.SZ,"1,676,800,000.00",8/23/2006
002065.SZ,"1,564,488,900.00",8/23/2006
002066.SZ,"231,000,000.00",8/23/2006
002067.SZ,"1,093,951,000.00",9/15/2006
002068.SZ,"607,063,596.00",9/15/2006
002069.SZ,"711,112,194.00",9/28/2006
002070.SZ,"635,258,156.00",10/12/2006
002071.SZ,"525,429,878.00",10/12/2006
002072.SZ,"176,000,000.00",10/18/2006
002073.SZ,"818,588,257.00",10/18/2006
002074.SZ,"862,332,112.00",10/18/2006
002075.SZ,"1,576,265,552.00",10/25/2006
002076.SZ,"367,159,836.00",10/25/2006
002077.SZ,"410,000,000.00",11/16/2006
002078.SZ,"2,536,635,238.00",11/16/2006
002079.SZ,"727,971,487.00",11/16/2006
002080.SZ,"400,000,000.00",11/20/2006
002081.SZ,"1,762,205,793.00",11/20/2006
002082.SZ,"238,000,000.00",11/20/2006
002083.SZ,"908,000,005.00",11/24/2006
002084.SZ,"406,055,813.00",11/24/2006
002085.SZ,"858,217,729.00",11/28/2006
002086.SZ,"243,850,000.00",11/28/2006
002087.SZ,"519,758,400.00",11/30/2006
002088.SZ,"233,978,689.00",11/30/2006
002089.SZ,"687,334,808.00",11/30/2006
002090.SZ,"226,318,404.00",12/8/2006
002091.SZ,"360,000,000.00",12/8/2006
002092.SZ,"1,390,239,078.00",12/8/2006
002093.SZ,"865,000,000.00",12/15/2006
002094.SZ,"321,916,620.00",12/15/2006
002095.SZ,"252,720,000.00",12/15/2006
002096.SZ,"371,287,000.00",12/22/2006
002097.SZ,"755,325,000.00",12/22/2006
002098.SZ,"310,000,000.00",12/22/2006
002099.SZ,"757,758,615.00",12/26/2006
002100.SZ,"963,384,608.00",12/26/2006
002101.SZ,"191,700,000.00",12/29/2006
002102.SZ,"728,727,553.00",12/29/2006
002103.SZ,"305,118,303.00",1/10/2007
002104.SZ,"713,200,000.00",1/10/2007
002105.SZ,"368,500,000.00",1/12/2007
002106.SZ,"705,816,160.00",1/12/2007
002107.SZ,"360,756,000.00",1/24/2007
002108.SZ,"618,458,068.00",1/24/2007
002109.SZ,"358,400,000.00",1/26/2007
002110.SZ,"534,700,000.00",1/26/2007
002111.SZ,"361,090,177.00",1/26/2007
002112.SZ,"201,600,000.00",2/8/2007
